页签,序号,项目名称,分类,上游地址,仓库是否删除,entity_type,reason
昇腾,1,transformers,训练加速,https://github.com/huggingface/transformers,,repo,github.com/huggingface/transformers
昇腾,2,accelerate,训练加速,https://github.com/huggingface/accelerate,,repo,github.com/huggingface/accelerate
昇腾,3,PEFT,训练加速,https://github.com/huggingface/peft,,repo,github.com/huggingface/peft
昇腾,4,TRL,训练加速,https://github.com/huggingface/trl,,repo,github.com/huggingface/trl
昇腾,5,diffusers,推理加速,https://github.com/huggingface/diffusers,,repo,github.com/huggingface/diffusers
昇腾,6,timm,推理加速,https://github.com/huggingface/pytorch-image-models,,repo,github.com/huggingface/pytorch-image-models
昇腾,7,TGI,推理加速,https://github.com/huggingface/text-generation-inference,,repo,github.com/huggingface/text-generation-inference
昇腾,8,LlamaFactory,训练加速,https://github.com/hiyouga/LlamaFactory,,repo,github.com/hiyouga/LlamaFactory
昇腾,9,FastChat,推理加速,https://github.com/lm-sys/FastChat,,repo,github.com/lm-sys/FastChat
昇腾,10,stable-diffusion-webui,推理加速,https://github.com/AUTOMATIC1111/stable-diffusion-webui,,repo,github.com/AUTOMATIC1111/stable-diffusion-webui
昇腾,11,lm-eval-harness,推理加速,https://github.com/EleutherAI/lm-evaluation-harness,,repo,github.com/EleutherAI/lm-evaluation-harness
昇腾,12,opencompass,推理加速,https://github.com/open-compass/opencompass,,repo,github.com/open-compass/opencompass
昇腾,13,axolotl,训练加速,https://github.com/axolotl-ai-cloud/axolotl,,repo,github.com/axolotl-ai-cloud/axolotl
昇腾,14,openclip,推理加速,https://github.com/mlfoundations/open_clip,,repo,github.com/mlfoundations/open_clip
昇腾,15,InternLM,推理加速,https://github.com/InternLM/InternLM,,repo,github.com/InternLM/InternLM
昇腾,16,Ollama,推理加速,https://github.com/ollama/ollama,,repo,github.com/ollama/ollama
昇腾,17,OPEA,推理加速,https://github.com/opea-project,,organization,github.com/opea-project (API: Organization)
昇腾,18,unsolth,训练加速,https://github.com/unslothai/unsloth,,repo,github.com/unslothai/unsloth
昇腾,19,OpenRLHF,训练加速,https://github.com/OpenRLHF/OpenRLHF,,repo,github.com/OpenRLHF/OpenRLHF
昇腾,20,veRL,训练加速,https://github.com/verl-project/verl,,repo,github.com/verl-project/verl
昇腾,21,ChatLearn,训练加速,https://github.com/alibaba/ChatLearn,,repo,github.com/alibaba/ChatLearn
昇腾,22,OpenMMLab,训练加速,https://github.com/open-mmlab,,organization,github.com/open-mmlab (API: Organization)
昇腾,23,ModelScope,推理加速,https://github.com/modelscope,,organization,github.com/modelscope (API: Organization)
昇腾,24,ComfyUI,推理加速,https://github.com/Comfy-Org/ComfyUI,,repo,github.com/Comfy-Org/ComfyUI
昇腾,25,DeepSpeed,训练加速,https://github.com/deepspeedai/DeepSpeed,,repo,github.com/deepspeedai/DeepSpeed
昇腾,26,OpenCV,推理加速,https://github.com/opencv/opencv,,repo,github.com/opencv/opencv
昇腾,27,ONNXRuntime,推理加速,https://github.com/microsoft/onnxruntime,,repo,github.com/microsoft/onnxruntime
昇腾,28,llama.cpp,推理加速,https://github.com/ggml-org/llama.cpp,,repo,github.com/ggml-org/llama.cpp
昇腾,29,whisper,推理加速,https://github.com/ggml-org/whisper.cpp,,repo,github.com/ggml-org/whisper.cpp
昇腾,30,wenet,推理加速,https://github.com/wenet-e2e/wenet,,repo,github.com/wenet-e2e/wenet
昇腾,31,vLLM社区,推理加速,https://github.com/vllm-project,,organization,github.com/vllm-project (API: Organization)
昇腾,32,SGLang社区,推理加速,https://github.com/sgl-project,,organization,github.com/sgl-project (API: Organization)
昇腾,33,Kserver,推理加速,https://github.com/kserve/kserve,,repo,github.com/kserve/kserve
昇腾,34,Kubernetes DRA,推理加速,https://github.com/kubernetes/dynamic-resource-allocation,,repo,github.com/kubernetes/dynamic-resource-allocation
昇腾,35,Ray,推理加速,https://github.com/ray-project/ray,,repo,github.com/ray-project/ray
昇腾,36,OpenXLA,推理加速,https://github.com/openxla/xla,,repo,github.com/openxla/xla
昇腾,37,bitsandbytes,推理加速,https://github.com/bitsandbytes-foundation/bitsandbytes,,repo,github.com/bitsandbytes-foundation/bitsandbytes
昇腾,38,PyTorch社区,AI框架,https://github.com/pytorch,,organization,github.com/pytorch (API: Organization)
昇腾,39,TensorFlow,AI框架,https://github.com/tensorflow/tensorflow,,repo,github.com/tensorflow/tensorflow
昇腾,40,Triton,算子库和编程,https://github.com/triton-lang/triton,,repo,github.com/triton-lang/triton
昇腾,41,Dify,应用加速,https://github.com/langgenius/dify,,repo,github.com/langgenius/dify
昇腾,42,Coze,应用加速,https://github.com/coze-dev/coze-studio,,repo,github.com/coze-dev/coze-studio
昇腾,43,MiniOneRec,应用加速,https://github.com/AkaliKong/MiniOneRec,,repo,github.com/AkaliKong/MiniOneRec
昇腾,44,MTGR,应用加速,https://github.com/meituan,,organization,github.com/meituan (API: Organization)
昇腾,45,X402,应用加速,https://github.com/x402-foundation/x402,,repo,github.com/x402-foundation/x402
昇腾,46,AP2,应用加速,https://github.com/google-agentic-commerce/AP2,,repo,github.com/google-agentic-commerce/AP2
昇腾,47,MCP,应用加速,https://github.com/modelcontextprotocol/modelcontextprotocol,,repo,github.com/modelcontextprotocol/modelcontextprotocol
昇腾,48,A2A,应用加速,https://github.com/a2aproject/A2A,,repo,github.com/a2aproject/A2A
昇腾,49,A2UI,应用加速,https://github.com/google/A2UI,,repo,github.com/google/A2UI
昇腾,50,ANP,应用加速,https://github.com/agent-network-protocol/AgentNetworkProtocol,,repo,github.com/agent-network-protocol/AgentNetworkProtocol
昇腾,51,Magatron,训练加速,https://github.com/NVIDIA/Megatron-LM,,repo,github.com/NVIDIA/Megatron-LM
昇腾,52,torchtitan,训练加速,https://github.com/pytorch/torchtitan,,repo,github.com/pytorch/torchtitan
昇腾,53,VeOmni,训练加速,https://github.com/ByteDance-Seed/VeOmni,,repo,github.com/ByteDance-Seed/VeOmni
昇腾,54,torchtune,训练加速,https://github.com/meta-pytorch/torchtune,,repo,github.com/meta-pytorch/torchtune
昇腾,55,xtuner,训练加速,https://github.com/InternLM/xtuner,,repo,github.com/InternLM/xtuner
昇腾,56,ms-swift,训练加速,https://github.com/modelscope/ms-swift,,repo,github.com/modelscope/ms-swift
昇腾,57,Areal,训练加速,https://github.com/inclusionAI/AReaL,,repo,github.com/inclusionAI/AReaL
昇腾,58,Slime,训练加速,https://github.com/THUDM/slime,,repo,github.com/THUDM/slime
昇腾,59,ROLL,训练加速,https://github.com/alibaba/ROLL,,repo,github.com/alibaba/ROLL
昇腾,60,speculators,训练加速,https://github.com/vllm-project/speculators,,repo,github.com/vllm-project/speculators
昇腾,61,SpecForge,训练加速,https://github.com/sgl-project/SpecForge,,repo,github.com/sgl-project/SpecForge
昇腾,62,tensordict,训练加速,https://github.com/pytorch/tensordict,,repo,github.com/pytorch/tensordict
昇腾,63,torchvision,训练加速,https://github.com/pytorch/vision,,repo,github.com/pytorch/vision
昇腾,64,Liger-Kernel,训练加速,https://github.com/linkedin/Liger-Kernel,,repo,github.com/linkedin/Liger-Kernel
昇腾,65,flash-linear-attention,训练加速,https://github.com/fla-org/flash-linear-attention,,repo,github.com/fla-org/flash-linear-attention
昇腾,66,dgl,训练加速,https://github.com/dmlc/dgl,,repo,github.com/dmlc/dgl
昇腾,67,pyg,训练加速,https://github.com/pyg-team/pytorch_geometric,,repo,github.com/pyg-team/pytorch_geometric
昇腾,68,megablocks,训练加速,https://github.com/databricks/megablocks,,repo,github.com/databricks/megablocks
昇腾,69,inclusionAI,推理加速,https://github.com/inclusionAI,,organization,github.com/inclusionAI (API: Organization)
昇腾,70,Mooncake,推理加速,https://github.com/kvcache-ai/Mooncake,,repo,github.com/kvcache-ai/Mooncake
昇腾,71,cache-dit,推理加速,https://github.com/vipshop/cache-dit,,repo,github.com/vipshop/cache-dit
昇腾,72,LMCache,推理加速,https://github.com/LMCache/LMCache,,repo,github.com/LMCache/LMCache
昇腾,73,rtp-llm,推理加速,https://github.com/alibaba/rtp-llm,,repo,github.com/alibaba/rtp-llm
昇腾,74,xllm,推理加速,https://github.com/jd-opensource/xllm,,repo,github.com/jd-opensource/xllm
昇腾,75,router,推理加速,https://github.com/vllm-project/router,,repo,github.com/vllm-project/router
昇腾,76,Ktransformers,推理加速,https://github.com/kvcache-ai/ktransformers,,repo,github.com/kvcache-ai/ktransformers
昇腾,77,AIGW,推理加速,https://github.com/aigw-project/aigw,,repo,github.com/aigw-project/aigw
昇腾,78,llm-d,推理加速,https://github.com/llm-d/llm-d,,repo,github.com/llm-d/llm-d
昇腾,79,AIBrix,推理加速,https://github.com/vllm-project/aibrix,,repo,github.com/vllm-project/aibrix
昇腾,80,GPUStack,推理加速,https://github.com/gpustack/gpustack,,repo,github.com/gpustack/gpustack
昇腾,81,DiffSynth-Studio,推理加速,https://github.com/modelscope/DiffSynth-Studio,,repo,github.com/modelscope/DiffSynth-Studio
昇腾,82,FlagScale,推理加速,https://github.com/flagos-ai/FlagScale,,repo,github.com/flagos-ai/FlagScale
昇腾,83,ColossalAI,推理加速,https://github.com/hpcaitech/ColossalAI,,repo,github.com/hpcaitech/ColossalAI
昇腾,84,Vbench,推理加速,https://github.com/Vchitect/VBench,,repo,github.com/Vchitect/VBench
昇腾,85,llm-compressor,推理加速,https://github.com/vllm-project/llm-compressor,,repo,github.com/vllm-project/llm-compressor
昇腾,86,LightX2V,推理加速,https://github.com/ModelTC/LightX2V,,repo,github.com/ModelTC/LightX2V
昇腾,87,xDiT,推理加速,https://github.com/xdit-project/xDiT,,repo,github.com/xdit-project/xDiT
昇腾,88,deepseek-ai,推理加速,https://github.com/deepseek-ai,,organization,github.com/deepseek-ai (API: Organization)
昇腾,89,QwenLM,推理加速,https://github.com/QwenLM,,organization,github.com/QwenLM (API: Organization)
昇腾,90,THUDM,推理加速,https://github.com/THUDM,,organization,github.com/THUDM (API: Organization)
昇腾,91,TileLang,算子库和编程,https://github.com/tile-ai/tilelang,,repo,github.com/tile-ai/tilelang
鲲鹏,1,Glibc,基础库&加速库,https://sourceware.org/git/glibc.git,,repo,.git URL: https://sourceware.org/git/glibc.git
鲲鹏,2,Hyperscan,基础库&加速库,https://github.com/est31/cargo-udeps,,repo,github.com/est31/cargo-udeps
鲲鹏,3,openMPI,基础库&加速库,https://github.com/open-mpi/ompi,,repo,github.com/open-mpi/ompi
鲲鹏,4,Zlib,基础库&加速库,https://github.com/madler/zlib,,repo,github.com/madler/zlib
鲲鹏,5,LZ4,基础库&加速库,https://github.com/lz4/lz4,,repo,github.com/lz4/lz4
鲲鹏,6,zlib-ng,基础库&加速库,https://github.com/zlib-ng/zlib-ng,,repo,github.com/zlib-ng/zlib-ng
鲲鹏,7,edk2,基础库&加速库,https://github.com/tianocore/edk2,,repo,github.com/tianocore/edk2
鲲鹏,8,Suricata,基础库&加速库,https://github.com/OISF/suricata,,repo,github.com/OISF/suricata
鲲鹏,9,Snort,基础库&加速库,https://github.com/snort3/snort3,,repo,github.com/snort3/snort3
鲲鹏,10,nDPI,基础库&加速库,https://github.com/ntop/nDPI,,repo,github.com/ntop/nDPI
鲲鹏,11,Gzip,基础库&加速库,https://github.com/Distrotech/gzip,,repo,github.com/Distrotech/gzip
鲲鹏,12,Zstd,基础库&加速库,https://github.com/facebook/zstd,,repo,github.com/facebook/zstd
鲲鹏,13,Snappy,基础库&加速库,https://github.com/google/snappy,,repo,github.com/google/snappy
鲲鹏,14,X265,基础库&加速库,https://bitbucket.org/multicoreware/x265,,repo,bitbucket.org/multicoreware/x265
鲲鹏,15,DPDK,基础库&加速库,https://github.com/DPDK/dpdk,,repo,github.com/DPDK/dpdk
鲲鹏,16,X264,基础库&加速库,https://code.videolan.org/videolan/x264,,repo,项目官网/其他URL: code.videolan.org
鲲鹏,17,SPDK,基础库&加速库,https://github.com/spdk/spdk,,repo,github.com/spdk/spdk
鲲鹏,18,Bcache,基础库&加速库,https://github.com/g2p/bcache-tools,,repo,github.com/g2p/bcache-tools
鲲鹏,19,OpenBLAS,基础库&加速库,https://github.com/OpenMathLib/OpenBLAS,,repo,github.com/OpenMathLib/OpenBLAS
鲲鹏,20,lapack,基础库&加速库,https://github.com/Reference-LAPACK/lapack,,repo,github.com/Reference-LAPACK/lapack
鲲鹏,21,Numpy,基础库&加速库,https://github.com/numpy/numpy,,repo,github.com/numpy/numpy
