页签,序号,项目名称,分类,上游地址,entity_type,reason
昇腾,1,transformers,训练加速,https://github.com/huggingface/transformers,repo,脚本分类: github.com/huggingface/transformers
昇腾,2,accelerate,训练加速,https://github.com/huggingface/accelerate,repo,脚本分类: github.com/huggingface/accelerate
昇腾,3,PEFT,训练加速,https://github.com/huggingface/peft,repo,脚本分类: github.com/huggingface/peft
昇腾,4,TRL,训练加速,https://github.com/huggingface/trl,repo,脚本分类: github.com/huggingface/trl
昇腾,5,diffusers,推理加速,https://github.com/huggingface/diffusers,repo,脚本分类: github.com/huggingface/diffusers
昇腾,6,timm,推理加速,https://github.com/huggingface/pytorch-image-models,repo,脚本分类: github.com/huggingface/pytorch-image-models
昇腾,7,TGI,推理加速,https://github.com/huggingface/text-generation-inference,repo,脚本分类: github.com/huggingface/text-generation-inference
昇腾,8,LlamaFactory,训练加速,https://github.com/hiyouga/LLaMA-Factory,repo,脚本分类: github.com/hiyouga/LLaMA-Factory
昇腾,9,FastChat,推理加速,https://github.com/lm-sys/FastChat,repo,脚本分类: github.com/lm-sys/FastChat
昇腾,10,stable-diffusion-webui,推理加速,https://github.com/AUTOMATIC1111/stable-diffusion-webui,repo,脚本分类: github.com/AUTOMATIC1111/stable-diffusion-webui
昇腾,11,lm-eval-harness,推理加速,https://github.com/EleutherAI/lm-evaluation-harness,repo,脚本分类: github.com/EleutherAI/lm-evaluation-harness
昇腾,12,opencompass,推理加速,https://github.com/open-compass/opencompass,repo,脚本分类: github.com/open-compass/opencompass
昇腾,13,axolotl,训练加速,https://github.com/axolotl-ai-cloud/axolotl,repo,脚本分类: github.com/axolotl-ai-cloud/axolotl
昇腾,14,openclip,推理加速,https://github.com/mlfoundations/open_clip,repo,脚本分类: github.com/mlfoundations/open_clip
昇腾,15,InternLM,推理加速,https://github.com/InternLM/InternLM,repo,脚本分类: github.com/InternLM/InternLM
昇腾,16,Ollama,推理加速,https://github.com/ollama/ollama,repo,脚本分类: github.com/ollama/ollama
昇腾,17,OPEA,推理加速,https://github.com/opea-project,organization,脚本分类: github.com/opea-project (org-level URL)
昇腾,18,unsolth,训练加速,https://github.com/unslothai/unsloth,repo,脚本分类: github.com/unslothai/unsloth
昇腾,19,OpenRLHF,训练加速,https://github.com/OpenRLHF/OpenRLHF,repo,脚本分类: github.com/OpenRLHF/OpenRLHF
昇腾,20,veRL,训练加速,https://github.com/volcengine/verl,repo,脚本分类: github.com/volcengine/verl
昇腾,21,ChatLearn,训练加速,https://github.com/alibaba/ChatLearn,repo,脚本分类: github.com/alibaba/ChatLearn
昇腾,22,OpenMMLab,训练加速,https://github.com/open-mmlab,organization,脚本分类: github.com/open-mmlab (org-level URL)
昇腾,23,ModelScope,推理加速,https://github.com/modelscope,organization,脚本分类: github.com/modelscope (org-level URL)
昇腾,24,ComfyUI,推理加速,https://github.com/comfyanonymous/ComfyUI,repo,脚本分类: github.com/comfyanonymous/ComfyUI
昇腾,25,DeepSpeed,训练加速,https://github.com/deepspeedai/DeepSpeed,repo,脚本分类: github.com/deepspeedai/DeepSpeed
昇腾,26,OpenCV,推理加速,https://github.com/opencv/opencv,repo,脚本分类: github.com/opencv/opencv
昇腾,27,ONNXRuntime,推理加速,https://github.com/microsoft/onnxruntime,repo,脚本分类: github.com/microsoft/onnxruntime
昇腾,28,llama.cpp,推理加速,https://github.com/ggml-org/llama.cpp,repo,脚本分类: github.com/ggml-org/llama.cpp
昇腾,29,whisper,推理加速,https://github.com/ggerganov/whisper.cpp,repo,脚本分类: github.com/ggerganov/whisper.cpp
昇腾,30,wenet,推理加速,https://github.com/wenet-e2e/wenet,repo,脚本分类: github.com/wenet-e2e/wenet
昇腾,31,vLLM社区,推理加速,https://github.com/vllm-project,organization,脚本分类: github.com/vllm-project (org-level URL)
昇腾,32,SGLang社区,推理加速,https://github.com/sgl-project,organization,脚本分类: github.com/sgl-project (org-level URL)
昇腾,33,Kserver,推理加速,https://github.com/kserve/kserve,repo,脚本分类: github.com/kserve/kserve
昇腾,34,Kubernetes DRA,推理加速,https://github.com/kubernetes/dynamic-resource-allocation,repo,脚本分类: github.com/kubernetes/dynamic-resource-allocation
昇腾,35,Ray,推理加速,https://github.com/ray-project/ray,repo,脚本分类: github.com/ray-project/ray
昇腾,36,OpenXLA,推理加速,https://github.com/openxla/xla,repo,脚本分类: github.com/openxla/xla
昇腾,37,bitsandbytes,推理加速,https://github.com/bitsandbytes-foundation/bitsandbytes,repo,脚本分类: github.com/bitsandbytes-foundation/bitsandbytes
昇腾,38,PyTorch社区,AI框架,https://github.com/pytorch,organization,脚本分类: github.com/pytorch (org-level URL)
昇腾,39,TensorFlow,AI框架,https://github.com/tensorflow/tensorflow,repo,脚本分类: github.com/tensorflow/tensorflow
昇腾,40,Triton,算子库和编程,https://github.com/triton-lang/triton,repo,脚本分类: github.com/triton-lang/triton
昇腾,41,Dify,应用加速,https://github.com/langgenius/dify,repo,脚本分类: github.com/langgenius/dify
昇腾,42,Coze,应用加速,https://github.com/coze-dev/coze-studio,repo,脚本分类: github.com/coze-dev/coze-studio
昇腾,43,MiniOneRec,应用加速,https://github.com/AkaliKong/MiniOneRec,repo,脚本分类: github.com/AkaliKong/MiniOneRec
昇腾,44,MTGR,应用加速,https://github.com/meituan,organization,"脚本分类: github.com/meituan (org-level URL, 已知归属: 美团)"
昇腾,45,X402,应用加速,https://github.com/coinbase/x402,repo,脚本分类: github.com/coinbase/x402
昇腾,46,AP2,应用加速,https://github.com/google-agentic-commerce/AP2,repo,脚本分类: github.com/google-agentic-commerce/AP2
昇腾,47,MCP,应用加速,https://github.com/modelcontextprotocol/modelcontextprotocol,repo,脚本分类: github.com/modelcontextprotocol/modelcontextprotocol
昇腾,48,A2A,应用加速,https://github.com/a2aproject/A2A,repo,脚本分类: github.com/a2aproject/A2A
昇腾,49,A2UI,应用加速,https://github.com/google/A2UI,repo,脚本分类: github.com/google/A2UI
昇腾,50,ANP,应用加速,https://github.com/agent-network-protocol/AgentNetworkProtocol,repo,脚本分类: github.com/agent-network-protocol/AgentNetworkProtocol
昇腾,51,Magatron,训练加速,https://github.com/NVIDIA/Megatron-LM,repo,脚本分类: github.com/NVIDIA/Megatron-LM
昇腾,52,torchtitan,训练加速,https://github.com/pytorch/torchtitan,repo,脚本分类: github.com/pytorch/torchtitan
昇腾,53,VeOmni,训练加速,https://github.com/ByteDance-Seed/VeOmni,repo,脚本分类: github.com/ByteDance-Seed/VeOmni
昇腾,54,torchtune,训练加速,https://github.com/meta-pytorch/torchtune,repo,脚本分类: github.com/meta-pytorch/torchtune
昇腾,55,xtuner,训练加速,https://github.com/InternLM/xtuner,repo,脚本分类: github.com/InternLM/xtuner
昇腾,56,ms-swift,训练加速,https://github.com/modelscope/ms-swift,repo,脚本分类: github.com/modelscope/ms-swift
昇腾,57,Areal,训练加速,https://github.com/inclusionAI/AReaL,repo,脚本分类: github.com/inclusionAI/AReaL
昇腾,58,Slime,训练加速,https://github.com/THUDM/slime,repo,脚本分类: github.com/THUDM/slime
昇腾,59,ROLL,训练加速,https://github.com/alibaba/ROLL,repo,脚本分类: github.com/alibaba/ROLL
昇腾,60,speculators,训练加速,https://github.com/vllm-project/speculators,repo,脚本分类: github.com/vllm-project/speculators
昇腾,61,SpecForge,训练加速,https://github.com/sgl-project/SpecForge,repo,脚本分类: github.com/sgl-project/SpecForge
昇腾,62,tensordict,训练加速,https://github.com/pytorch/tensordict,repo,脚本分类: github.com/pytorch/tensordict
昇腾,63,torchvision,训练加速,https://github.com/pytorch/vision,repo,脚本分类: github.com/pytorch/vision
昇腾,64,Liger-Kernel,训练加速,https://github.com/linkedin/Liger-Kernel,repo,脚本分类: github.com/linkedin/Liger-Kernel
昇腾,65,flash-linear-attention,训练加速,https://github.com/fla-org/flash-linear-attention,repo,脚本分类: github.com/fla-org/flash-linear-attention
昇腾,66,dgl,训练加速,https://github.com/dmlc/dgl,repo,脚本分类: github.com/dmlc/dgl
昇腾,67,pyg,训练加速,https://github.com/pyg-team/pytorch_geometric,repo,脚本分类: github.com/pyg-team/pytorch_geometric
昇腾,68,megablocks,训练加速,https://github.com/databricks/megablocks,repo,脚本分类: github.com/databricks/megablocks
昇腾,69,inclusionAI,推理加速,https://github.com/inclusionAI,organization,"脚本分类: github.com/inclusionAI (org-level URL, 已知归属: 蚂蚁)"
昇腾,70,Mooncake,推理加速,https://github.com/kvcache-ai/Mooncake,repo,脚本分类: github.com/kvcache-ai/Mooncake
昇腾,71,cache-dit,推理加速,https://github.com/vipshop/cache-dit,repo,脚本分类: github.com/vipshop/cache-dit
昇腾,72,LMCache,推理加速,https://github.com/LMCache/LMCache,repo,脚本分类: github.com/LMCache/LMCache
昇腾,73,rtp-llm,推理加速,https://github.com/alibaba/rtp-llm,repo,脚本分类: github.com/alibaba/rtp-llm
昇腾,74,xllm,推理加速,https://github.com/jd-opensource/xllm,repo,脚本分类: github.com/jd-opensource/xllm
昇腾,75,router,推理加速,https://github.com/vllm-project/router,repo,脚本分类: github.com/vllm-project/router
昇腾,76,Ktransformers,推理加速,https://github.com/kvcache-ai/ktransformers,repo,脚本分类: github.com/kvcache-ai/ktransformers
昇腾,77,AIGW,推理加速,https://github.com/aigw-project/aigw,repo,脚本分类: github.com/aigw-project/aigw
昇腾,78,llm-d,推理加速,https://github.com/llm-d/llm-d,repo,脚本分类: github.com/llm-d/llm-d
