页签,序号,项目名称,分类,上游地址,entity_type,source,expanded_from_org,stars,forks,pushed_at,score,language,description,reason
昇腾,1,transformers,训练加速,https://github.com/huggingface/transformers,repo,repo,,,,,,,,
昇腾,2,accelerate,训练加速,https://github.com/huggingface/accelerate,repo,repo,,,,,,,,
昇腾,3,PEFT,训练加速,https://github.com/huggingface/peft,repo,repo,,,,,,,,
昇腾,4,TRL,训练加速,https://github.com/huggingface/trl,repo,repo,,,,,,,,
昇腾,5,diffusers,推理加速,https://github.com/huggingface/diffusers,repo,repo,,,,,,,,
昇腾,6,timm,推理加速,https://github.com/huggingface/pytorch-image-models,repo,repo,,,,,,,,
昇腾,7,TGI,推理加速,https://github.com/huggingface/text-generation-inference,repo,repo,,,,,,,,
昇腾,8,LlamaFactory,训练加速,https://github.com/hiyouga/LlamaFactory,repo,repo,,,,,,,,
昇腾,9,FastChat,推理加速,https://github.com/lm-sys/FastChat,repo,repo,,,,,,,,
昇腾,10,stable-diffusion-webui,推理加速,https://github.com/AUTOMATIC1111/stable-diffusion-webui,repo,repo,,,,,,,,
昇腾,11,lm-eval-harness,推理加速,https://github.com/EleutherAI/lm-evaluation-harness,repo,repo,,,,,,,,
昇腾,12,opencompass,推理加速,https://github.com/open-compass/opencompass,repo,repo,,,,,,,,
昇腾,13,axolotl,训练加速,https://github.com/axolotl-ai-cloud/axolotl,repo,repo,,,,,,,,
昇腾,14,openclip,推理加速,https://github.com/mlfoundations/open_clip,repo,repo,,,,,,,,
昇腾,15,InternLM,推理加速,https://github.com/InternLM/InternLM,repo,repo,,,,,,,,
昇腾,16,Ollama,推理加速,https://github.com/ollama/ollama,repo,repo,,,,,,,,
昇腾,18,unsolth,训练加速,https://github.com/unslothai/unsloth,repo,repo,,,,,,,,
昇腾,19,OpenRLHF,训练加速,https://github.com/OpenRLHF/OpenRLHF,repo,repo,,,,,,,,
昇腾,20,veRL,训练加速,https://github.com/verl-project/verl,repo,repo,,,,,,,,
昇腾,21,ChatLearn,训练加速,https://github.com/alibaba/ChatLearn,repo,repo,,,,,,,,
昇腾,24,ComfyUI,推理加速,https://github.com/Comfy-Org/ComfyUI,repo,repo,,,,,,,,
昇腾,25,DeepSpeed,训练加速,https://github.com/deepspeedai/DeepSpeed,repo,repo,,,,,,,,
昇腾,26,OpenCV,推理加速,https://github.com/opencv/opencv,repo,repo,,,,,,,,
昇腾,27,ONNXRuntime,推理加速,https://github.com/microsoft/onnxruntime,repo,repo,,,,,,,,
昇腾,28,llama.cpp,推理加速,https://github.com/ggml-org/llama.cpp,repo,repo,,,,,,,,
昇腾,29,whisper,推理加速,https://github.com/ggml-org/whisper.cpp,repo,repo,,,,,,,,
昇腾,30,wenet,推理加速,https://github.com/wenet-e2e/wenet,repo,repo,,,,,,,,
昇腾,33,Kserver,推理加速,https://github.com/kserve/kserve,repo,repo,,,,,,,,
昇腾,34,Kubernetes DRA,推理加速,https://github.com/kubernetes/dynamic-resource-allocation,repo,repo,,,,,,,,
昇腾,35,Ray,推理加速,https://github.com/ray-project/ray,repo,repo,,,,,,,,
昇腾,36,OpenXLA,推理加速,https://github.com/openxla/xla,repo,repo,,,,,,,,
昇腾,37,bitsandbytes,推理加速,https://github.com/bitsandbytes-foundation/bitsandbytes,repo,repo,,,,,,,,
昇腾,39,TensorFlow,AI框架,https://github.com/tensorflow/tensorflow,repo,repo,,,,,,,,
