org_name,owner,platform,org_url,repo_count,unique_repo_count,repos,source,confidence,reason,description,blog,location
The Apache Software Foundation,apache,github.com,https://github.com/apache,52,50,Hadoop;Spark;Hive;HBase;Flink;Kafka;Storm;Impala;Zookeeper;Tez;Flume;Oozie;Solr;Kylin;Accumulo;Avro;Pig;Atlas;Livy;Parquet;Mesos;Thrift;Drill;Druid;Phoenix;Lucene;Arrow;Kudu;Kyuubi;Apache HTTP Server;Tomcat;ATS;Dubbo;Cassandra;Maven;Ant;APR-util;ActiveMQ;APR;Guacamole;Doris;Gluten(京东/美团);Iceberg(字节/京东);Ambari(中移);hudi(字节/京东);ORC(京东);Celeborn（阿里）;auron（快手）;TVM(CBG);brpc(美团);tvm;brpc,url+github_api,,Resolved from URL host github.com/apache; GitHub API type=Organization,,https://www.apache.org/,
Hugging Face,huggingface,github.com,https://github.com/huggingface,7,7,transformers;accelerate;PEFT;TRL;diffusers;timm;TGI,url+github_api,,Resolved from URL host github.com/huggingface; GitHub API type=Organization,The AI community building the future.,https://huggingface.co/,NYC + Paris
Google,google,github.com,https://github.com/google,7,7,A2UI;Snappy;benchmark;LevelDB;Google Test;FlatBuffers;RE2,url+github_api,,Resolved from URL host github.com/google; GitHub API type=Organization,Google ❤️ Open Source,https://opensource.google/,United States of America
Alibaba,alibaba,github.com,https://github.com/alibaba,6,6,ChatLearn;ROLL;rtp-llm;Tengine;FastJSON;canal,url+github_api,,Resolved from URL host github.com/alibaba; GitHub API type=Organization,Alibaba Open Source,https://opensource.alibaba.com/,"Hangzhou, China"
vLLM,vllm-project,github.com,https://github.com/vllm-project,6,5,speculators;router;AIBrix;llm-compressor;vLLM(蚂蚁/腾讯);vllm,url+github_api,,Resolved from URL host github.com/vllm-project; GitHub API type=Organization,,,
pytorch,pytorch,github.com,https://github.com/pytorch,5,4,torchtitan;tensordict;torchvision;PyTorch;torchvision(多模态大模型媒体库),url+github_api,,Resolved from URL host github.com/pytorch; GitHub API type=Organization,,https://pytorch.org,where the eigens are valued
Meta,facebook,github.com,https://github.com/facebook,5,5,Zstd;RocksDB;React;folly(字节);fbthrift(字节),url+github_api,,Resolved from URL host github.com/facebook; GitHub API type=Organization,We are working to build community through open source technology. NB: members must have two-factor auth.,https://opensource.fb.com,"Menlo Park, California"
Microsoft,microsoft,github.com,https://github.com/microsoft,4,3,ONNXRuntime;TypeScript;DiskANN(字节);onnxruntime(CBG),url+github_api,,Resolved from URL host github.com/microsoft; GitHub API type=Organization,Open source projects and samples from Microsoft,https://opensource.microsoft.com,"Redmond, WA"
NVIDIA Corporation,NVIDIA,github.com,https://github.com/NVIDIA,4,3,Magatron;TensorRT;TensorRT（京东）;TensorRT-LLM（京东）,url+github_api,,Resolved from URL host github.com/NVIDIA; GitHub API type=Organization,,https://nvidia.com,"2788 San Tomas Expressway, Santa Clara, CA, 95051"
elastic,elastic,github.com,https://github.com/elastic,4,4,ElasticSearch;logstash;Kibana;Filebeat,url+github_api,,Resolved from URL host github.com/elastic; GitHub API type=Organization,,https://www.elastic.co/,
