页签,序号,项目名称,分类,上游地址,entity_type,reason
昇腾,17,OPEA,推理加速,https://github.com/opea-project,organization,脚本分类: github.com/opea-project (org-level URL)
昇腾,22,OpenMMLab,训练加速,https://github.com/open-mmlab,organization,脚本分类: github.com/open-mmlab (org-level URL)
昇腾,23,ModelScope,推理加速,https://github.com/modelscope,organization,脚本分类: github.com/modelscope (org-level URL)
昇腾,31,vLLM社区,推理加速,https://github.com/vllm-project,organization,脚本分类: github.com/vllm-project (org-level URL)
昇腾,32,SGLang社区,推理加速,https://github.com/sgl-project,organization,脚本分类: github.com/sgl-project (org-level URL)
昇腾,38,PyTorch社区,AI框架,https://github.com/pytorch,organization,脚本分类: github.com/pytorch (org-level URL)
昇腾,44,MTGR,应用加速,https://github.com/meituan,organization,"脚本分类: github.com/meituan (org-level URL, 已知归属: 美团)"
昇腾,69,inclusionAI,推理加速,https://github.com/inclusionAI,organization,"脚本分类: github.com/inclusionAI (org-level URL, 已知归属: 蚂蚁)"
昇腾,88,deepseek-ai,推理加速,https://github.com/deepseek-ai,organization,"脚本分类: github.com/deepseek-ai (org-level URL, 已知归属: DeepSeek)"
昇腾,89,QwenLM,推理加速,https://github.com/QwenLM,organization,"脚本分类: github.com/QwenLM (org-level URL, 已知归属: 阿里/通义千问)"
昇腾,90,THUDM,推理加速,https://github.com/THUDM,organization,"脚本分类: github.com/THUDM (org-level URL, 已知归属: 清华大学)"
鲲鹏,117,Spring Cloud,Web,https://github.com/spring-cloud,organization,脚本分类: github.com/spring-cloud (org-level URL)
鲲鹏,153,Python,基础库&加速库,https://github.com/python,organization,脚本分类: github.com/python (org-level URL)
鲲鹏,242,Bioconda,HPC,https://github.com/bioconda/,organization,脚本分类: github.com/bioconda (org-level URL)
鲲鹏,243,Bioconductor,HPC,https://github.com/bioconductor,organization,脚本分类: github.com/bioconductor (org-level URL)
鲲鹏,385,Android(联通云),ARM原生,https://github.com/android/,organization,"脚本分类: github.com/android (org-level URL, 已知归属: Google)"
