页签,序号,项目名称,分类,上游地址,entity_type,reason,source,expanded_from_org,stars,description,language,llm_note,foundation_name,evidence,confidence
昇腾,1,transformers,训练加速,https://github.com/huggingface/transformers,repo,脚本分类: github.com/huggingface/transformers,repo,,,,,,none,企业/公司项目: Hugging Face,S
昇腾,2,accelerate,训练加速,https://github.com/huggingface/accelerate,repo,脚本分类: github.com/huggingface/accelerate,repo,,,,,,none,企业/公司项目: Hugging Face,S
昇腾,3,PEFT,训练加速,https://github.com/huggingface/peft,repo,脚本分类: github.com/huggingface/peft,repo,,,,,,none,企业/公司项目: Hugging Face,S
昇腾,4,TRL,训练加速,https://github.com/huggingface/trl,repo,脚本分类: github.com/huggingface/trl,repo,,,,,,none,企业/公司项目: Hugging Face,S
昇腾,5,diffusers,推理加速,https://github.com/huggingface/diffusers,repo,脚本分类: github.com/huggingface/diffusers,repo,,,,,,none,企业/公司项目: Hugging Face,S
昇腾,6,timm,推理加速,https://github.com/huggingface/pytorch-image-models,repo,脚本分类: github.com/huggingface/pytorch-image-models,repo,,,,,,none,企业/公司项目: Hugging Face,S
昇腾,7,TGI,推理加速,https://github.com/huggingface/text-generation-inference,repo,脚本分类: github.com/huggingface/text-generation-inference,repo,,,,,,none,企业/公司项目: Hugging Face,S
昇腾,8,LlamaFactory,训练加速,https://github.com/hiyouga/LLaMA-Factory,repo,脚本分类: github.com/hiyouga/LLaMA-Factory,repo,,,,,,none,个人开发者项目,S
昇腾,9,FastChat,推理加速,https://github.com/lm-sys/FastChat,repo,脚本分类: github.com/lm-sys/FastChat,repo,,,,,,none,企业/公司项目: LMSYS/UC Berkeley,S
昇腾,10,stable-diffusion-webui,推理加速,https://github.com/AUTOMATIC1111/stable-diffusion-webui,repo,脚本分类: github.com/AUTOMATIC1111/stable-diffusion-webui,repo,,,,,,none,个人开发者项目,S
昇腾,11,lm-eval-harness,推理加速,https://github.com/EleutherAI/lm-evaluation-harness,repo,脚本分类: github.com/EleutherAI/lm-evaluation-harness,repo,,,,,,none,个人开发者项目,S
昇腾,12,opencompass,推理加速,https://github.com/open-compass/opencompass,repo,脚本分类: github.com/open-compass/opencompass,repo,,,,,,none,个人开发者项目,S
昇腾,13,axolotl,训练加速,https://github.com/axolotl-ai-cloud/axolotl,repo,脚本分类: github.com/axolotl-ai-cloud/axolotl,repo,,,,,,none,个人开发者项目,S
昇腾,14,openclip,推理加速,https://github.com/mlfoundations/open_clip,repo,脚本分类: github.com/mlfoundations/open_clip,repo,,,,,,none,个人开发者项目,S
昇腾,15,InternLM,推理加速,https://github.com/InternLM/InternLM,repo,脚本分类: github.com/InternLM/InternLM,repo,,,,,,none,企业/公司项目: Shanghai AI Lab,S
昇腾,16,Ollama,推理加速,https://github.com/ollama/ollama,repo,脚本分类: github.com/ollama/ollama,repo,,,,,,none,企业/公司项目: Ollama,S
昇腾,18,unsolth,训练加速,https://github.com/unslothai/unsloth,repo,脚本分类: github.com/unslothai/unsloth,repo,,,,,,none,个人开发者项目,S
昇腾,19,OpenRLHF,训练加速,https://github.com/OpenRLHF/OpenRLHF,repo,脚本分类: github.com/OpenRLHF/OpenRLHF,repo,,,,,,none,个人开发者项目,S
昇腾,20,veRL,训练加速,https://github.com/volcengine/verl,repo,脚本分类: github.com/volcengine/verl,repo,,,,,,none,企业/公司项目: ByteDance (Volcengine),S
昇腾,21,ChatLearn,训练加速,https://github.com/alibaba/ChatLearn,repo,脚本分类: github.com/alibaba/ChatLearn,repo,,,,,,none,企业/公司项目: Alibaba,S
昇腾,24,ComfyUI,推理加速,https://github.com/comfyanonymous/ComfyUI,repo,脚本分类: github.com/comfyanonymous/ComfyUI,repo,,,,,,none,个人开发者项目,S
昇腾,25,DeepSpeed,训练加速,https://github.com/deepspeedai/DeepSpeed,repo,脚本分类: github.com/deepspeedai/DeepSpeed,repo,,,,,,PyTorch Foundation,GitHub org匹配: deepspeedai → PyTorch Foundation,S
昇腾,26,OpenCV,推理加速,https://github.com/opencv/opencv,repo,脚本分类: github.com/opencv/opencv,repo,,,,,,OpenCV Foundation,基金会项目列表匹配: opencv/opencv,S
昇腾,27,ONNXRuntime,推理加速,https://github.com/microsoft/onnxruntime,repo,脚本分类: github.com/microsoft/onnxruntime,repo,,,,,,none,企业/公司项目: Microsoft,S
昇腾,28,llama.cpp,推理加速,https://github.com/ggml-org/llama.cpp,repo,脚本分类: github.com/ggml-org/llama.cpp,repo,,,,,,none,个人开发者项目,S
昇腾,29,whisper,推理加速,https://github.com/ggerganov/whisper.cpp,repo,脚本分类: github.com/ggerganov/whisper.cpp,repo,,,,,,none,个人开发者项目,S
昇腾,30,wenet,推理加速,https://github.com/wenet-e2e/wenet,repo,脚本分类: github.com/wenet-e2e/wenet,repo,,,,,,none,企业/公司项目: Seasalt AI,S
昇腾,33,Kserver,推理加速,https://github.com/kserve/kserve,repo,脚本分类: github.com/kserve/kserve,repo,,,,,,CNCF,GitHub org匹配: kserve → CNCF,S
昇腾,34,Kubernetes DRA,推理加速,https://github.com/kubernetes/dynamic-resource-allocation,repo,脚本分类: github.com/kubernetes/dynamic-resource-allocation,repo,,,,,,CNCF,GitHub org匹配: kubernetes → CNCF,S
昇腾,35,Ray,推理加速,https://github.com/ray-project/ray,repo,脚本分类: github.com/ray-project/ray,repo,,,,,,PyTorch Foundation,GitHub org匹配: ray-project → PyTorch Foundation,S
昇腾,36,OpenXLA,推理加速,https://github.com/openxla/xla,repo,脚本分类: github.com/openxla/xla,repo,,,,,,none,企业/公司项目: Google-led collaborative,S
昇腾,37,bitsandbytes,推理加速,https://github.com/bitsandbytes-foundation/bitsandbytes,repo,脚本分类: github.com/bitsandbytes-foundation/bitsandbytes,repo,,,,,,none,个人开发者项目,S
昇腾,39,TensorFlow,AI框架,https://github.com/tensorflow/tensorflow,repo,脚本分类: github.com/tensorflow/tensorflow,repo,,,,,,none,企业/公司项目: Google,S
昇腾,40,Triton,算子库和编程,https://github.com/triton-lang/triton,repo,脚本分类: github.com/triton-lang/triton,repo,,,,,,none,企业/公司项目: OpenAI,S
昇腾,41,Dify,应用加速,https://github.com/langgenius/dify,repo,脚本分类: github.com/langgenius/dify,repo,,,,,,none,企业/公司项目: LangGenius (Dify),S
昇腾,42,Coze,应用加速,https://github.com/coze-dev/coze-studio,repo,脚本分类: github.com/coze-dev/coze-studio,repo,,,,,,none,企业/公司项目: ByteDance (Coze),S
昇腾,43,MiniOneRec,应用加速,https://github.com/AkaliKong/MiniOneRec,repo,脚本分类: github.com/AkaliKong/MiniOneRec,repo,,,,,,none,个人开发者项目,S
昇腾,45,X402,应用加速,https://github.com/coinbase/x402,repo,脚本分类: github.com/coinbase/x402,repo,,,,,,none,企业/公司项目: Coinbase,S
昇腾,46,AP2,应用加速,https://github.com/google-agentic-commerce/AP2,repo,脚本分类: github.com/google-agentic-commerce/AP2,repo,,,,,,none,企业/公司项目: Google,S
昇腾,47,MCP,应用加速,https://github.com/modelcontextprotocol/modelcontextprotocol,repo,脚本分类: github.com/modelcontextprotocol/modelcontextprotocol,repo,,,,,,none,社区/独立项目，无基金会归属,A
昇腾,48,A2A,应用加速,https://github.com/a2aproject/A2A,repo,脚本分类: github.com/a2aproject/A2A,repo,,,,,,none,社区/独立项目，无基金会归属,A
昇腾,49,A2UI,应用加速,https://github.com/google/A2UI,repo,脚本分类: github.com/google/A2UI,repo,,,,,,none,企业/公司项目: Google,S
昇腾,50,ANP,应用加速,https://github.com/agent-network-protocol/AgentNetworkProtocol,repo,脚本分类: github.com/agent-network-protocol/AgentNetworkProtocol,repo,,,,,,none,社区/独立项目，无基金会归属,A
昇腾,51,Magatron,训练加速,https://github.com/NVIDIA/Megatron-LM,repo,脚本分类: github.com/NVIDIA/Megatron-LM,repo,,,,,,none,企业/公司项目: NVIDIA,S
昇腾,52,torchtitan,训练加速,https://github.com/pytorch/torchtitan,repo,脚本分类: github.com/pytorch/torchtitan,repo,,,,,,PyTorch Foundation,GitHub org匹配: pytorch → PyTorch Foundation,S
昇腾,53,VeOmni,训练加速,https://github.com/ByteDance-Seed/VeOmni,repo,脚本分类: github.com/ByteDance-Seed/VeOmni,repo,,,,,,none,企业/公司项目: ByteDance,S
昇腾,54,torchtune,训练加速,https://github.com/meta-pytorch/torchtune,repo,脚本分类: github.com/meta-pytorch/torchtune,repo,,,,,,none,企业/公司项目: Meta,S
昇腾,55,xtuner,训练加速,https://github.com/InternLM/xtuner,repo,脚本分类: github.com/InternLM/xtuner,repo,,,,,,none,企业/公司项目: Shanghai AI Lab,S
昇腾,56,ms-swift,训练加速,https://github.com/modelscope/ms-swift,repo,脚本分类: github.com/modelscope/ms-swift,repo,,,,,,none,企业/公司项目: Alibaba (ModelScope),S
昇腾,57,Areal,训练加速,https://github.com/inclusionAI/AReaL,repo,脚本分类: github.com/inclusionAI/AReaL,repo,,,,,,none,企业/公司项目: Ant Group,S
昇腾,58,Slime,训练加速,https://github.com/THUDM/slime,repo,脚本分类: github.com/THUDM/slime,repo,,,,,,none,企业/公司项目: Tsinghua University,S
昇腾,59,ROLL,训练加速,https://github.com/alibaba/ROLL,repo,脚本分类: github.com/alibaba/ROLL,repo,,,,,,none,企业/公司项目: Alibaba,S
昇腾,60,speculators,训练加速,https://github.com/vllm-project/speculators,repo,脚本分类: github.com/vllm-project/speculators,repo,,,,,,PyTorch Foundation,GitHub org匹配: vllm-project → PyTorch Foundation,S
昇腾,61,SpecForge,训练加速,https://github.com/sgl-project/SpecForge,repo,脚本分类: github.com/sgl-project/SpecForge,repo,,,,,,none,企业/公司项目: LMSYS/UC Berkeley,S
昇腾,62,tensordict,训练加速,https://github.com/pytorch/tensordict,repo,脚本分类: github.com/pytorch/tensordict,repo,,,,,,PyTorch Foundation,GitHub org匹配: pytorch → PyTorch Foundation,S
昇腾,63,torchvision,训练加速,https://github.com/pytorch/vision,repo,脚本分类: github.com/pytorch/vision,repo,,,,,,PyTorch Foundation,基金会项目列表匹配: pytorch/vision,S
昇腾,64,Liger-Kernel,训练加速,https://github.com/linkedin/Liger-Kernel,repo,脚本分类: github.com/linkedin/Liger-Kernel,repo,,,,,,none,企业/公司项目: LinkedIn/Microsoft,S
昇腾,65,flash-linear-attention,训练加速,https://github.com/fla-org/flash-linear-attention,repo,脚本分类: github.com/fla-org/flash-linear-attention,repo,,,,,,none,社区/独立项目，无基金会归属,A
昇腾,66,dgl,训练加速,https://github.com/dmlc/dgl,repo,脚本分类: github.com/dmlc/dgl,repo,,,,,,none,社区/独立项目，无基金会归属,A
昇腾,67,pyg,训练加速,https://github.com/pyg-team/pytorch_geometric,repo,脚本分类: github.com/pyg-team/pytorch_geometric,repo,,,,,,none,社区/独立项目，无基金会归属,A
昇腾,68,megablocks,训练加速,https://github.com/databricks/megablocks,repo,脚本分类: github.com/databricks/megablocks,repo,,,,,,none,企业/公司项目: Databricks,S
昇腾,70,Mooncake,推理加速,https://github.com/kvcache-ai/Mooncake,repo,脚本分类: github.com/kvcache-ai/Mooncake,repo,,,,,,none,企业/公司项目: KVCache.AI,S
昇腾,71,cache-dit,推理加速,https://github.com/vipshop/cache-dit,repo,脚本分类: github.com/vipshop/cache-dit,repo,,,,,,none,企业/公司项目: Vipshop,S
昇腾,72,LMCache,推理加速,https://github.com/LMCache/LMCache,repo,脚本分类: github.com/LMCache/LMCache,repo,,,,,,none,企业/公司项目: academic research,S
昇腾,73,rtp-llm,推理加速,https://github.com/alibaba/rtp-llm,repo,脚本分类: github.com/alibaba/rtp-llm,repo,,,,,,none,企业/公司项目: Alibaba,S
昇腾,74,xllm,推理加速,https://github.com/jd-opensource/xllm,repo,脚本分类: github.com/jd-opensource/xllm,repo,,,,,,none,企业/公司项目: JD.com,S
昇腾,75,router,推理加速,https://github.com/vllm-project/router,repo,脚本分类: github.com/vllm-project/router,repo,,,,,,PyTorch Foundation,GitHub org匹配: vllm-project → PyTorch Foundation,S
昇腾,76,Ktransformers,推理加速,https://github.com/kvcache-ai/ktransformers,repo,脚本分类: github.com/kvcache-ai/ktransformers,repo,,,,,,none,企业/公司项目: KVCache.AI,S
昇腾,77,AIGW,推理加速,https://github.com/aigw-project/aigw,repo,脚本分类: github.com/aigw-project/aigw,repo,,,,,,none,社区/独立项目，无基金会归属,A
昇腾,78,llm-d,推理加速,https://github.com/llm-d/llm-d,repo,脚本分类: github.com/llm-d/llm-d,repo,,,,,,none,社区/独立项目，无基金会归属,A
昇腾,79,AIBrix,推理加速,https://github.com/vllm-project/aibrix,repo,脚本分类: github.com/vllm-project/aibrix,repo,,,,,,PyTorch Foundation,GitHub org匹配: vllm-project → PyTorch Foundation,S
昇腾,80,GPUStack,推理加速,https://github.com/gpustack/gpustack,repo,脚本分类: github.com/gpustack/gpustack,repo,,,,,,none,企业/公司项目: GPUStack Inc,S
昇腾,81,DiffSynth-Studio,推理加速,https://github.com/modelscope/DiffSynth-Studio,repo,脚本分类: github.com/modelscope/DiffSynth-Studio,repo,,,,,,none,企业/公司项目: Alibaba (ModelScope),S
昇腾,82,FlagScale,推理加速,https://github.com/flagos-ai/FlagScale,repo,脚本分类: github.com/flagos-ai/FlagScale,repo,,,,,,none,企业/公司项目: BAAI (Beijing Academy of AI),S
昇腾,83,ColossalAI,推理加速,https://github.com/hpcaitech/ColossalAI,repo,脚本分类: github.com/hpcaitech/ColossalAI,repo,,,,,,none,企业/公司项目: HPC-AI Technology (ColossalAI),S
昇腾,84,Vbench,推理加速,https://github.com/Vchitect/VBench,repo,脚本分类: github.com/Vchitect/VBench,repo,,,,,,none,企业/公司项目: academic research,S
昇腾,85,llm-compressor,推理加速,https://github.com/vllm-project/llm-compressor,repo,脚本分类: github.com/vllm-project/llm-compressor,repo,,,,,,PyTorch Foundation,GitHub org匹配: vllm-project → PyTorch Foundation,S
